name,club,league,position,tier,rating,pace,shooting,passing,dribbling,defending,physical
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold,95,89,93,93,97,40,68
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,LW,Gold,94,91,94,84,90,36,80
Eden Hazard,Real Madrid,Spain Primera Division,LF,Gold,92,92,85,88,95,36,67
Neymar,Paris Saint-Germain,France Ligue 1,LW,Gold,92,91,85,87,95,32,58
Kevin De Bruyne,Manchester City,England Premier League,CM,Gold,92,77,88,93,88,62,80
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,91,79,91,77,88,43,84
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,91,73,93,83,84,49,85
Sergio Agüero,Manchester City,England Premier League,ST,Gold,91,76,86,92,87,61,78
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold,90,72,63,74,80,90,82
N'Golo Kanté,Chelsea,England Premier League,CDM,Gold,90,97,86,80,91,40,76
Piqué,FC Barcelona,Spain Primera Division,CB,Gold,90,82,88,86,90,58,73
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,LW,Gold,90,97,86,80,91,40,76
Antoine Griezmann,FC Barcelona,Spain Primera Division,LW,Gold,90,75,82,92,83,72,80
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold,90,71,92,82,82,48,84
Virgil van Dijk,Liverpool,England Premier League,CB,Gold,90,74,76,89,90,72,66
Mohamed Salah,Liverpool,England Premier League,RW,Gold,90,82,88,86,90,58,73
Luka Modrić,Real Madrid,Spain Primera Division,CM,Gold,90,78,89,77,86,42,83
Paulo Dybala,Piemonte Calcio,Italy Serie A,CAM,Gold,89,84,84,85,91,45,65
Sadio Mané,Liverpool,England Premier League,LW,Gold,89,95,87,78,81,38,70
Lorenzo Insigne,Napoli,Italy Serie A,CF,Gold,89,84,84,85,91,45,65
Pierre-Emerick Aubame...,Arsenal,England Premier League,ST,Gold,89,42,62,80,81,85,80
Luis Suárez,FC Barcelona,Spain Primera Division,ST,Gold,89,77,87,74,85,41,82
Sergio Busquets,FC Barcelona,Spain Primera Division,CDM,Gold,89,78,65,77,81,87,83
Giorgio Chiellini,Piemonte Calcio,Italy Serie A,CB,Gold,89,96,84,78,90,39,75
Kalidou Koulibaly,Napoli,Italy Serie A,CB,Gold,89,70,91,79,81,47,83
Sergio Ramos,Real Madrid,Spain Primera Division,CB,Gold,89,88,86,88,88,52,80
Jordi Alba,FC Barcelona,Spain Primera Division,LB,Gold,88,52,59,78,75,90,77
Heung Min Son,Tottenham Hotspur,England Premier League,CF,Gold,88,85,90,80,88,36,80
Mats Hummels,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,88,85,85,81,88,57,73
Roberto Firmino,Liverpool,England Premier League,CF,Gold,88,80,88,88,88,52,81
Thomas Müller,Bayern München,Germany 1. Bundesliga,CAM,Gold,88,85,88,84,87,45,66
James Rodríguez,Real Madrid,Spain Primera Division,CAM,Gold,88,60,48,64,63,89,83
Marco Reus,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold,88,65,74,88,89,52,57
Diego Godín,Inter,Italy Serie A,CB,Gold,88,93,79,78,89,45,57
David Silva,Manchester City,England Premier League,CAM,Gold,88,73,81,90,84,53,63
Raheem Sterling,Manchester City,England Premier League,RW,Gold,88,63,55,74,74,89,79
Edinson Cavani,Paris Saint-Germain,France Ligue 1,ST,Gold,88,83,61,85,82,87,80
Christian Eriksen,Tottenham Hotspur,England Premier League,CAM,Gold,88,66,88,87,83,70,76
Dries Mertens,Napoli,Italy Serie A,ST,Gold,88,75,86,72,79,55,83
Karim Benzema,Real Madrid,Spain Primera Division,ST,Gold,88,74,81,86,85,66,86
Paul Pogba,Manchester United,England Premier League,CM,Gold,88,73,81,90,84,53,63
Serge Gnabry,Bayern München,Germany 1. Bundesliga,RM,Gold,87,75,65,84,77,86,82
Juan Mata,Manchester United,England Premier League,CAM,Gold,87,42,82,90,80,71,70
Ciro Immobile,Lazio,Italy Serie A,ST,Gold,87,82,82,88,86,26,60
Marquinhos,Paris Saint-Germain,France Ligue 1,CB,Gold,87,86,86,87,87,37,68
Matteo Politano,Inter,Italy Serie A,RM,Gold,87,85,82,85,88,49,69
Ángel Di María,Paris Saint-Germain,France Ligue 1,RW,Gold,87,83,86,73,85,48,75
Parejo,Valencia CF,Spain Primera Division,CM,Gold,87,74,83,81,84,81,87
Mesut Özil,Arsenal,England Premier League,CAM,Gold,87,69,71,88,86,76,68
Iago Aspas,RC Celta de Vigo,Spain Primera Division,ST,Gold,87,69,71,88,86,76,68
Edin Džeko,Roma,Italy Serie A,ST,Gold,87,81,87,65,82,40,77
Dele Alli,Tottenham Hotspur,England Premier League,CAM,Gold,87,66,61,86,91,81,67
Miralem Pjanić,Piemonte Calcio,Italy Serie A,CM,Gold,87,82,62,80,80,88,83
Marco Verratti,Paris Saint-Germain,France Ligue 1,CM,Gold,87,51,58,76,73,89,76
Thiago,Bayern München,Germany 1. Bundesliga,CM,Gold,87,89,79,85,91,35,47
Fernandinho,Manchester City,England Premier League,CDM,Gold,87,76,82,80,86,39,77
Aymeric Laporte,Manchester City,England Premier League,CB,Gold,87,62,72,75,72,85,89
Bernardo Silva,Manchester City,England Premier League,RW,Gold,87,63,63,74,73,87,79
Casemiro,Real Madrid,Spain Primera Division,CDM,Gold,87,88,59,82,80,83,80
Jan Vertonghen,Tottenham Hotspur,England Premier League,CB,Gold,87,76,88,76,76,53,84
Toby Alderweireld,Tottenham Hotspur,England Premier League,CB,Gold,87,90,86,75,89,40,64
Coutinho,Bayern München,Germany 1. Bundesliga,CAM,Gold,87,93,82,79,87,43,68
Gerard Moreno,Villarreal CF,Spain Primera Division,RW,Gold,86,88,83,84,85,35,80
Andrew Robertson,Liverpool,England Premier League,LB,Gold,86,83,81,82,83,77,81
